State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Sabarkantha,Himatnagar,"Kabuli Chana(Chickpeas-White)","Dollar Gram-Organic",FAQ,23/04/2025,8000,9000,8600
Gujarat,Sabarkantha,Himatnagar,Mustard,Mustard,Non-FAQ,23/04/2025,5000,5200,5100
Gujarat,Sabarkantha,Khedbrahma,Wheat,Lok-1,FAQ,23/04/2025,2455,2800,2627
Gujarat,Sabarkantha,Modasa,Soanf,Soanf,FAQ,23/04/2025,8000,11905,11905
Gujarat,Sabarkantha,Modasa,Wheat,"Lokwan Gujrat",FAQ,23/04/2025,2425,2775,2775
Gujarat,Sabarkantha,Vadali,"Castor Seed",Other,FAQ,23/04/2025,5950,6105,6027
Gujarat,Sabarkantha,Vadali,Maize,Other,FAQ,23/04/2025,2200,2635,2417
Gujarat,Sabarkantha,Vadali,Mustard,Other,Non-FAQ,23/04/2025,4500,4900,4700
Gujarat,Surat,Bardoli(Katod),"Bhindi(Ladies Finger)",Other,FAQ,23/04/2025,1000,2250,1650
Gujarat,Surat,Vyra,Maize,"Deshi Red",Non-FAQ,23/04/2025,1950,2200,2075
Gujarat,Surendranagar,Chotila,"Bengal Gram(Gram)(Whole)",Other,Non-FAQ,23/04/2025,4500,5000,4750
Gujarat,Surendranagar,Chotila,Jowar(Sorghum),Other,Non-FAQ,23/04/2025,3500,4500,4000
Gujarat,Surendranagar,Vadhvan,"Bhindi(Ladies Finger)",Bhindi,FAQ,23/04/2025,2500,3500,3000
Gujarat,Surendranagar,Vadhvan,Brinjal,Brinjal,FAQ,23/04/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,"Elephant Yam (Suran)","Elephant Yam (Suran)",FAQ,23/04/2025,4000,4500,4250
Gujarat,Surendranagar,Vadhvan,"Green Chilli","Green Chilly",FAQ,23/04/2025,2000,3000,2500
Gujarat,Surendranagar,Vadhvan,Tomato,Tomato,FAQ,23/04/2025,500,1000,750
Gujarat,Vadodara(Baroda),Padra,"Bhindi(Ladies Finger)",Other,FAQ,23/04/2025,2250,3000,2650
